?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CLO_0000539>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human fetal membrane-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0001935>	<http://www.w3.org/2000/01/rdf-schema#label>	"BeWo cell"	
<http://purl.obolibrary.org/obo/CLO_0000702>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human placenta-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0037372>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEK293T cell"@en	
<http://purl.obolibrary.org/obo/CLO_0001759>	<http://www.w3.org/2000/01/rdf-schema#label>	"AT-3.1 cell"	
<http://purl.obolibrary.org/obo/CLO_0009873>	<http://www.w3.org/2000/01/rdf-schema#label>	"EW-7 cell"	
<http://purl.obolibrary.org/obo/CLO_0000560>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human bone element-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0051100>	<http://www.w3.org/2000/01/rdf-schema#label>	"HSC0073 cell"	
<http://purl.obolibrary.org/obo/CLO_0009697>	<http://www.w3.org/2000/01/rdf-schema#label>	"XTK0 cell"	
<http://purl.obolibrary.org/obo/CLO_0008440>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phi 1 cell"	
<http://purl.obolibrary.org/obo/CLO_0000512>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal rat liver-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000785>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse embryo-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0008264>	<http://www.w3.org/2000/01/rdf-schema#label>	"OMEGA-E cell"	
<http://purl.obolibrary.org/obo/CLO_0009924>	<http://www.w3.org/2000/01/rdf-schema#label>	"ZR75B cell"	
<http://purl.obolibrary.org/obo/CLO_0008088>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-H446 cell"	
<http://purl.obolibrary.org/obo/CLO_0009748>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal forest day mosquito larva-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000230>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal larva-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006963>	<http://www.w3.org/2000/01/rdf-schema#label>	"IPI-2I cell"	
<http://purl.obolibrary.org/obo/CLO_0000810>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal pig ileum-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000451>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human thigh-derived fibroblast cell line cell"	
